The number of skill builders is 171
0,259
1,262
2,263
3,10
4,267
5,268
6,269
7,270
8,271
9,274
10,276
11,277
12,278
13,22
14,24
15,284
16,285
17,286
18,287
19,31
20,288
21,32
22,289
23,35
24,291
25,293
26,294
27,295
28,296
29,43
30,45
31,46
32,47
33,48
34,49
35,51
36,52
37,568
38,56
39,569
40,57
41,570
42,571
43,572
44,573
45,574
46,575
47,576
48,64
49,577
50,578
51,579
52,580
53,68
54,581
55,69
56,582
57,70
58,583
59,584
60,585
61,586
62,587
63,76
64,588
65,589
66,77
67,590
68,591
69,80
70,593
71,82
72,594
73,595
74,84
75,596
76,86
77,87
78,89
79,90
80,602
81,92
82,604
83,93
84,605
85,94
86,606
87,95
88,97
89,609
90,610
91,99
92,614
93,104
94,109
95,110
96,111
97,112
98,116
99,118
100,119
101,120
102,121
103,124
104,125
105,126
106,127
107,130
108,131
109,132
110,134
111,135
112,136
113,137
114,138
115,139
116,140
117,141
118,142
119,149
120,151
121,152
122,153
123,156
124,160
125,162
126,171
127,172
128,173
129,176
130,177
131,178
132,179
133,181
134,183
135,188
136,189
137,190
138,191
139,193
140,195
141,198
142,203
143,204
144,205
145,208
146,209
147,210
148,212
149,213
150,217
151,218
152,219
153,222
154,223
155,225
156,226
157,227
158,228
159,229
160,230
161,231
162,239
163,242
164,243
165,247
166,249
167,250
168,251
169,253
170,254
