The number of skill builders is 111
0,1
1,2
2,4
3,5
4,8
5,9
6,10
7,11
8,12
9,13
10,15
11,16
12,17
13,18
14,276
15,277
16,21
17,278
18,22
19,279
20,24
21,280
22,25
23,26
24,27
25,32
26,34
27,290
28,35
29,292
30,293
31,294
32,39
33,295
34,40
35,296
36,297
37,42
38,298
39,299
40,43
41,301
42,46
43,47
44,303
45,48
46,49
47,50
48,51
49,307
50,308
51,309
52,54
53,310
54,311
55,312
56,58
57,314
58,61
59,317
60,63
61,65
62,322
63,67
64,323
65,324
66,325
67,70
68,74
69,75
70,331
71,76
72,77
73,333
74,334
75,79
76,80
77,81
78,82
79,83
80,340
81,84
82,85
83,86
84,343
85,346
86,91
87,92
88,348
89,94
90,350
91,96
92,97
93,356
94,101
95,104
96,105
97,362
98,365
99,110
100,367
101,368
102,371
103,378
104,163
105,165
106,166
107,173
108,203
109,204
110,217
