The number of skill builders is 123
0,1
1,2
2,4
3,5
4,8
5,9
6,10
7,11
8,12
9,13
10,14
11,15
12,16
13,17
14,18
15,276
16,277
17,21
18,278
19,22
20,279
21,24
22,280
23,25
24,26
25,27
26,32
27,34
28,290
29,35
30,292
31,37
32,293
33,294
34,39
35,295
36,40
37,296
38,297
39,42
40,298
41,299
42,43
43,301
44,46
45,47
46,303
47,48
48,49
49,50
50,51
51,307
52,308
53,309
54,53
55,54
56,310
57,311
58,312
59,58
60,314
61,61
62,317
63,63
64,64
65,65
66,321
67,322
68,67
69,323
70,324
71,69
72,325
73,70
74,74
75,75
76,331
77,76
78,77
79,333
80,334
81,79
82,80
83,81
84,82
85,83
86,340
87,84
88,85
89,86
90,343
91,346
92,91
93,92
94,348
95,94
96,350
97,96
98,97
99,99
100,356
101,101
102,102
103,104
104,105
105,362
106,365
107,110
108,367
109,368
110,371
111,375
112,378
113,163
114,165
115,166
116,173
117,190
118,193
119,203
120,204
121,217
122,221
